publishedAt,authorProfileImageUrl,videoId,authorDisplayName,textDisplay
2017-11-28T23:27:56.000Z,https://yt3.ggpht.com/-oRCxWHab2ms/AAAAAAAAAAI/AAAAAAAAAAA/Ofvg4JWnsHk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Raymond K Petry,"...and, finally, speaking of accuracy, linguists tell us that linguistics, the scientific study of language-in-general, is not an exact science, and yet, linguistics is what we use to convey the understanding of exact science—(is that a paradox)—and furthermore will correct the usage of natural language only when we stop monkeying-around for example, NOT-ELSE."
2017-11-28T17:07:15.000Z,https://yt3.ggpht.com/-kmhA-or4Y0k/AAAAAAAAAAI/AAAAAAAAAAA/whafqMnjkWM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Laura Simmons,Star Trek knew it would happen.  Star Trek always knows...
2017-11-28T12:59:48.000Z,https://yt3.ggpht.com/-0goKKfA806w/AAAAAAAAAAI/AAAAAAAAAAA/E6-YfCzElWk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,SinerAthin,"One thing to keep in mind with regard to natural language is that natural language is often highly imprecise, and very dependant upon the level of eloquence of the transmitter and the knowledge and understanding of the receiver, and the importance of shared points of reference for both of them.

This is why for instance when it comes to the sciences there is such a heavy emphasis on exact word use. When writing a scientific article or instruction manual, you want to be as precise as possible with your use of words, terms and grammer and to minimize the chance of missunderanding to be as small as possible. 

That is why, even if computers could understand natural language, the degrees of complexity of the tasks which they could pull off would inevitably be affected by the accuracy of the instructions(macros and preprogrammed sequences and programs are of course exempted)."
2017-11-27T16:34:00.000Z,https://yt3.ggpht.com/-ZdkR7l4248s/AAAAAAAAAAI/AAAAAAAAAAA/cLrGiaz1FQc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,FirstRisingSouI,"So when computers talk to each other, they talk about balls?"
2017-11-27T13:57:07.000Z,https://yt3.ggpht.com/-a6WhpPb1Es4/AAAAAAAAAAI/AAAAAAAAAAA/zovVJjJCC9Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Kevin D,How close are we to Star Trek's universal translator?
2017-11-27T13:19:30.000Z,https://yt3.ggpht.com/-KGwuWSkLPwc/AAAAAAAAAAI/AAAAAAAAAAA/KJjmd2PnMRE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Crispin Semmens,thanks for flagging up the knowledge graph. Is there a transcript of this? The chat is VERY fast... almost like one continuous sentence!
2017-11-26T14:05:27.000Z,https://yt3.ggpht.com/-FQ7bUBz8irQ/AAAAAAAAAAI/AAAAAAAAAAA/7FCk46LCpi4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Aaron Zhu,Cheeky Samsung ad before the intro?
2017-11-26T10:38:46.000Z,https://yt3.ggpht.com/-EMEvuptvN9c/AAAAAAAAAAI/AAAAAAAAAAA/cUHs4vZzRn4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Teymur Azayev,This is how computer science should be taught. The motivation and big picture is important.
2017-11-26T06:33:05.000Z,https://yt3.ggpht.com/-atrZOQJ2cGc/AAAAAAAAAAI/AAAAAAAAAAA/LQ6oc-f1AyY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,cashphattichaddi,Dope!
2017-11-25T09:42:58.000Z,https://yt3.ggpht.com/-aRPg1TPgaec/AAAAAAAAAAI/AAAAAAAAAAA/X2QrybPh84M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,eyreland,Why Siri in US English??? Redo it with Siri in Australian English ...
2017-11-25T03:26:21.000Z,https://yt3.ggpht.com/-oslS_vGpXRc/AAAAAAAAAAI/AAAAAAAAAAA/9fK1PfX2Kxc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Aryan Shrestha,"Do a video on Nepal ( talk about its history: Prithvi Narayan Shah, Manjushree), Nature: Mt Everest, The highest situated lake Tilicho, geographic regions, etc, Religion: 80% hindu 10% buddhism ( Buddha was born in Lumbini, Nepal) , 2015 Earthquake and Nepal Blockade and also the royal massacre"
2017-11-25T00:11:02.000Z,https://yt3.ggpht.com/--Xdmt3xyjJs/AAAAAAAAAAI/AAAAAAAAAAA/QOX74mvEfW4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Jesse McCall,"Oh my gosh, this is the best channel I've subscribed to in a long time (on par with SmarterEveryDay)! Kudos!"
